user,story,comment
WheelsAtLarge,14002821,1
thecompilr,15974603,1
uncensored,14073223,1
jameshart,13400291,1
GlennS,15786802,1
twoodfin,15008636,1
bitmapbrother,15446295,1
r721,15446295,1
binarysolo,15769807,1
bolelang,15432720,1
11thEarlOfMar,15538666,1
yashinovsky,16009459,1
isp,15747313,1
sAbakumoff,15752022,1
known,13884357,1
jhylau,13576236,1
nickpsecurity,14673777,1
Tehchops,15544378,1
eric_arrr,15543371,1
NKCSS,15892066,1
antirez,15122540,1
lcuff,14486657,1
le-mark,14486657,1
SiempreZeus,14971326,1
jimnotgym,15584124,1
sdegutis,14002386,1
osrec,15368353,1
skc,15704376,1
dreamdu5t,15741565,1
eapen,13884357,1
lisper,15156291,1
Entangled,13716511,1
rogy,15275182,1
beat,13426896,1
omarforgotpwd,14859740,1
orlandpm,14688684,1
justinjlynn,15902054,1
tsenart,14688684,1
potrebitel,15230871,1
pluma,15230871,1
jondubois,14752392,1
vgt,13743908,1
tomcam,13966054,1
motivic,13810764,1
tejasmanohar,14360549,1
rmetzler,15400037,1
110011,14645452,1
hackrack,14645452,1
spiderfarmer,15345455,1
DrNuke,13743908,1
vgy7ujm,13849430,1
weddpros,14560042,1
Androider,14560042,1
killin_dan,14309194,1
tariandbari,14923362,1
gravlaks,13682949,1
BadassFractal,14159085,1
invisible,14023198,1
moondistance,14023198,1
BCharlie,14023198,1
ZeroClickOk,13456246,1
StefanKovachev,13435634,1
justonepost,15826445,1
BayLabs,15384262,1
ygra,13601543,1
andrewvijay,13718752,1
brianbreslin,14310617,1
curiousgal,14447682,1
SadWebDeveloper,14156954,1
anechoe,15853374,1
yuriydyrenko,14238005,1
mdturnerphys,15407761,1
amund,15824597,1
relyks,14308754,1
jandrese,14002821,1
jaredtking,14238005,1
Sidnicious,14361039,1
throwaway-1209,14465243,1
knodi,14146850,1
ambirex,13326792,1
dennisvdvliet,13682949,1
guilt,14381264,1
ideonexus,14805265,1
davidpelayo,15568078,1
eggbrain,14902696,1
madshiva,15230871,1
eropple,14901566,1
ceyhunkazel,14830671,1
Cryptoholic,14973424,1
hayksaakian,15756062,1
Nano2rad,14347648,1
auvi,15342486,1
phs318u,13533661,1
akud,14068280,1
CodeWriter23,14600873,1
jmml97,14744068,1
nydrewreynolds,14090063,1
haeric,15148885,1
WholeSplit,15148885,1
matt-attack,14498724,1
kilon,13837781,1
mabbo,14754772,1
justicezyx,14995165,1
huji,14976028,1
ryanmarsh,14139186,1
partycoder,15813107,1
baccredited,14146850,1
stretchwithme,14516538,1
thomk,13804522,1
jseliger,14330932,1
tanilama,14568468,1
Raynak,14901051,1
mansandersson,15601729,1
transfire,13860890,1
clairity,14952787,1
JoeDaDude,15550735,1
jessicath,14238005,1
macspoofing,14505073,1
agentultra,15949144,1
superscalar,14688684,1
rkangel,13682949,1
msutherl,13981184,1
danso,15694118,1
ggambetta,15631565,1
nimish,15514926,1
hxta98596,13648449,1
RRRA,13394900,1
ryanjodonnell,15384262,1
bflesch,15384262,1
gourou,15142853,1
rcarmo,15696596,1
janlin1999,14238005,1
skdotdan,14361425,1
itomato,14002821,1
linux_devil,14204702,1
mathgenius,15131525,1
sshumaker,14023198,1
guscost,13585104,1
MPiccinato,13301832,1
banachtarski,13918465,1
gmisra,13529213,1
daw___,13406638,1
Multicomp,15079619,1
belorn,14373951,1
hosker4u,14373951,1
ixtli,14090419,1
glennblack,15634609,1
kiproping,15629308,1
neftaly,13541679,1
billytetrud,13541679,1
jasode,15421704,1
jaxn,15451442,1
rdl,14094083,1
craftyguy,15444607,1
partycoder,15444607,1
cvanderwalt,15824597,1
squeaky-clean,13375543,1
nehushtan,13382963,1
bitL,15694018,1
wordpressdev,14039135,1
dim13,14859740,1
karlmdavis,14002821,1
tobltobs,14002821,1
disconnected,15631565,1
tomschlick,15714920,1
taurath,15800676,1
throwawaygmemo,15021427,1
elchief,14651287,1
suneilp,14651287,1
pkulak,13797042,1
a_imho,14152688,1
idclip,14152688,1
rileytg,15041986,1
