anime_id,title,alpha,omega,zeta
11013,Inu x Boku SS,15,82,135
2104,Seto no Hanayome,125,157,55
5262,Shugo Chara!! Doki,130,113,82
721,Princess Tutu,159,108,97
12365,Bakuman. 3rd Season,112,55,29
6586,Yume-iro Pâtissière,130,113,201
178,Ultra Maniac,160,149,110
2787,Shakugan no Shana II (Second),90,18,29
4477,Nodame Cantabile: Paris-hen,216,41,29
853,Ouran Koukou Host Club,107,41,29
4814,Junjou Romantica 2,12,191,199
7054,Kaichou wa Maid-sama!,216,41,29
11123,Sekaiichi Hatsukoi 2,12,191,24
14227,Tonari no Kaibutsu-kun,1,47,29
269,Bleach,197,24,29
59,Chobits,153,155,123
6045,Kimi ni Todoke,216,41,29
1735,Naruto: Shippuuden,197,24,29
210,Ranma ½,121,165,126
4224,Toradora!,51,41,29
10030,Bakuman. 2nd Season,112,55,29
74,Gakuen Alice,130,113,108
4722,Skip Beat!,216,41,29
14397,Chihayafuru 2,216,41,29
1557,Shounen Onmyouji,221,113,91
10800,Chihayafuru,216,41,29
3731,Itazura na Kiss,137,179,135
9513,Beelzebub,168,82,62
5835,Hanasakeru Seishounen,130,113,82
9863,SKET Dance,1,47,29
7817,B-gata H-kei,161,4,157
966,Crayon Shin-chan,187,178,186
120,Fruits Basket,137,179,199
957,Saiunkoku Monogatari,159,108,126
21,One Piece,112,55,29
1974,Glass no Kamen (2005),167,117,126
857,Air Gear,137,179,157
1914,Saiunkoku Monogatari 2nd Season,159,108,169
249,InuYasha,176,47,123
6645,Chu-Bra!!,170,209,133
5690,Nodame Cantabile Finale,216,41,29
1571,Ghost Hunt,176,47,123
11759,Accel World,90,18,29
7674,Bakuman.,112,55,29
1698,Nodame Cantabile,216,41,29
14713,Kamisama Hajimemashita,15,82,123
232,Cardcaptor Sakura,159,108,199
233,Daa! Daa! Daa!,160,149,175
9656,Kimi ni Todoke 2nd Season,216,41,29
9926,Sekaiichi Hatsukoi,12,191,199
2564,Code-E,25,196,209
3092,Junjou Romantica,12,191,24
1579,Kiniro no Corda: Primo Passo,130,113,169
32370,D.Gray-man Hallow,183,4,157
34152,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,196,10,169
153,Juuni Kokuki,66,193,24
27417,Diabolik Lovers OVA,84,209,167
33398,Neko Konogoro,135,61,95
1051,Ao no 6-gou,173,175,179
12447,Ben-To Picture Drama,117,167,143
1381,Seikai no Monshou Special,186,175,175
8022,Tegamibachi Gakuen,84,209,200
32666,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,46,61,48
33775,Soul Buster,42,121,49
14353,Death Billiards,183,4,29
5235,Live On Cardliver Kakeru,169,219,49
26443,Triage X,118,147,49
16251,Shinkai no Kantai: Submarine 707,169,219,184
36847,Nanatsu no Bitoku,117,167,89
32561,Hai to Gensou no Grimgar Special,214,99,10
24275,Medamayaki no Kimi Itsu Tsubusu?,169,219,184
1811,Bounty Dog: Getsumen no Ibu,201,196,49
9721,Aisai Nikki,145,15,175
812,Chikyuu Shoujo Arjuna,49,213,117
7791,K-On!!,220,105,55
747,Haru wo Daite Ita,45,166,161
11009,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,27,207,173
8726,Soredemo Machi wa Mawatteiru,68,122,169
15813,Majokko Shimai no Yoyo to Nene,49,213,52
